model,protocol,MAE,RMSE,MAPE,medAPE,range_km_MAE,n_test,variant,n_features,seed
gbm,L1,26.639605605569706,35.78514764461062,18.931633913780452,13.69839658159685,23.36474547097975,593,minus_state,11,1
hybrid_physics_ml,L1,18.04308367447426,25.4316127299409,12.123227972566847,9.304418526055175,16.767288362339833,593,minus_state,11,1
rated_range,L1,59.967936288680534,71.7298740700256,50.54186053191495,34.58040997583278,43.186621027294734,593,minus_traffic,13,1
physics_only,L1,35.56076390062183,46.83127932150473,22.233412250665033,20.875703715095522,32.1085903068118,593,minus_traffic,13,1
ridge,L1,24.1241677273425,31.143179883998787,17.05346587929087,13.634614148293695,21.95298821937525,593,minus_traffic,13,1
random_forest,L1,24.52279520283458,33.31155524148887,17.38041887463115,12.421110647326586,22.24091019433438,593,minus_traffic,13,1
gbm,L1,22.511173381308147,30.536028708859167,15.638430943315,10.839030864830553,19.965445541692958,593,minus_traffic,13,1
hybrid_physics_ml,L1,18.306064418198748,26.025664641711547,12.328054399581104,9.17334141125231,16.83121608977854,593,minus_traffic,13,1
rated_range,L1,65.7735855212425,79.80539581740288,57.612889633689605,35.183840163620175,50.12632936421324,706,full,15,2
physics_only,L1,40.211934326018934,54.31352417880717,24.810687474930873,21.511120541261956,36.11795979422796,706,full,15,2
ridge,L1,30.075345373106106,42.55226550906553,20.51286165584876,14.75751952344826,27.311227637491317,706,full,15,2
random_forest,L1,31.94828266041095,46.55227830394219,21.611436979762484,15.873728554795491,29.24684536279389,706,full,15,2
gbm,L1,27.42071199381427,40.46069742648725,18.501938057256055,12.856812665794354,24.711476929362302,706,full,15,2
hybrid_physics_ml,L1,21.31895603759969,32.326112421346814,13.754930333741749,9.96229205848337,20.86990717174085,706,full,15,2
rated_range,L1,65.7735855212425,79.80539581740288,57.612889633689605,35.183840163620175,50.12632936421324,706,minus_route,7,2
physics_only,L1,40.211934326018934,54.31352417880717,24.810687474930873,21.511120541261956,36.11795979422796,706,minus_route,7,2
ridge,L1,35.45336533617569,49.20687585679984,25.901382708829363,16.296163338311366,33.1926269293995,706,minus_route,7,2
random_forest,L1,35.72165542103882,49.820204174533316,26.05877891132954,17.237747502928027,32.98721943360118,706,minus_route,7,2
gbm,L1,35.3119775926046,48.24619864372393,26.253074496163258,17.18299805606111,33.13273019940749,706,minus_route,7,2
hybrid_physics_ml,L1,29.827013913430466,41.37000227283248,20.78041143027341,14.980225750153537,29.429023061551494,706,minus_route,7,2
rated_range,L1,65.7735855212425,79.80539581740288,57.612889633689605,35.183840163620175,50.12632936421324,706,minus_weather,14,2
physics_only,L1,40.211934326018934,54.31352417880717,24.810687474930873,21.511120541261956,36.11795979422796,706,minus_weather,14,2
ridge,L1,30.93959657370862,43.28046569258819,21.36852574374917,15.529422718806124,28.41381168052159,706,minus_weather,14,2
random_forest,L1,32.21497215922953,46.54868065088459,21.808742121625286,15.806362407790786,29.286869536565238,706,minus_weather,14,2
gbm,L1,28.426621840885517,41.28429207920642,19.597893531976045,13.908495964361789,25.77088402217131,706,minus_weather,14,2
hybrid_physics_ml,L1,23.61828527623355,34.9029860154698,15.409060829099225,11.389128804682498,23.121935753690405,706,minus_weather,14,2
rated_range,L1,65.7735855212425,79.80539581740288,57.612889633689605,35.183840163620175,50.12632936421324,706,minus_state,11,2
physics_only,L1,40.211934326018934,54.31352417880717,24.810687474930873,21.511120541261956,36.11795979422796,706,minus_state,11,2
ridge,L1,41.07365945139536,56.56649309401059,28.24033431307587,19.239650223443416,36.85159089363075,706,minus_state,11,2
random_forest,L1,35.531108085722735,52.65614408965753,23.908476049017388,16.5611557247638,31.713963610705683,706,minus_state,11,2
gbm,L1,33.87448242941433,49.77483643542303,22.506733367305483,15.115325848009231,29.577298684585227,706,minus_state,11,2
hybrid_physics_ml,L1,21.998049802711392,33.33463136733906,13.97492116231824,10.68039360629061,21.463087203941726,706,minus_state,11,2
rated_range,L1,65.7735855212425,79.80539581740288,57.612889633689605,35.183840163620175,50.12632936421324,706,minus_traffic,13,2
physics_only,L1,40.211934326018934,54.31352417880717,24.810687474930873,21.511120541261956,36.11795979422796,706,minus_traffic,13,2
ridge,L1,30.160509554729344,42.654214853586204,20.80858024841766,14.88654453135346,27.427557412806173,706,minus_traffic,13,2
random_forest,L1,32.30176852476719,47.03685372062733,22.00487544616941,15.682063548354536,29.761691415806812,706,minus_traffic,13,2
gbm,L1,27.4973424611168,40.79698944871778,18.888270413960228,12.903602587552083,25.366305780305694,706,minus_traffic,13,2
hybrid_physics_ml,L1,21.25562666232812,32.44606914614286,13.611792582216104,9.706999625696119,20.569642499913506,706,minus_traffic,13,2
rated_range,L1,66.66621052358971,77.00345732263453,64.79860235872935,42.1173628969467,54.416406398386115,505,full,15,3
physics_only,L1,31.45074937866919,43.947134510145574,23.279828700560476,17.60588351999594,33.802185079137026,505,full,15,3
ridge,L1,25.0060661744451,33.598192760840945,20.132361700026877,13.678989314007273,29.205401981006766,505,full,15,3
random_forest,L1,24.2631654746208,32.896586221839364,20.418658490218284,12.339401817211716,27.994886861706537,505,full,15,3
gbm,L1,22.195961492380384,31.11939376853764,18.512717590888943,11.899135597789758,25.90328471220611,505,full,15,3
hybrid_physics_ml,L1,18.333749754415273,28.1976376523361,13.838097263863533,9.332842762624015,20.408534266107573,505,full,15,3
rated_range,L1,66.66621052358971,77.00345732263453,64.79860235872935,42.1173628969467,54.416406398386115,505,minus_route,7,3
physics_only,L1,31.45074937866919,43.947134510145574,23.279828700560476,17.60588351999594,33.802185079137026,505,minus_route,7,3
ridge,L1,29.959226789916194,40.647160049780894,25.634436165296258,14.591572048692248,35.23658130800618,505,minus_route,7,3
random_forest,L1,29.401644818338184,39.98500941569224,25.63365512802955,15.280393039359302,33.70207728893634,505,minus_route,7,3
gbm,L1,31.238458329604367,41.70274867751217,26.73957969141703,16.816816346111775,35.53104439672433,505,minus_route,7,3
hybrid_physics_ml,L1,27.395987458525056,39.87887305444419,21.489063286373334,13.407863119247832,30.756509371490427,505,minus_route,7,3
rated_range,L1,66.66621052358971,77.00345732263453,64.79860235872935,42.1173628969467,54.416406398386115,505,minus_weather,14,3
physics_only,L1,31.45074937866919,43.947134510145574,23.279828700560476,17.60588351999594,33.802185079137026,505,minus_weather,14,3
ridge,L1,26.751372489593773,34.97053607833393,21.850716040437554,15.793499154591592,31.360345768500796,505,minus_weather,14,3
random_forest,L1,25.317167801955947,34.00805793898468,21.391958901871607,13.478493013216402,29.1202464555461,505,minus_weather,14,3
gbm,L1,23.814687109836285,33.35850274765013,20.10029556354836,12.32689486493164,27.3254684126637,505,minus_weather,14,3
hybrid_physics_ml,L1,20.497744948494052,30.439846898262687,15.739128812893096,10.54422762493208,22.66415127248616,505,minus_weather,14,3
rated_range,L1,66.66621052358971,77.00345732263453,64.79860235872935,42.1173628969467,54.416406398386115,505,minus_state,11,3
physics_only,L1,31.45074937866919,43.947134510145574,23.279828700560476,17.60588351999594,33.802185079137026,505,minus_state,11,3
ridge,L1,36.426162556751386,45.12142467665345,29.932607724680484,22.769383174078534,39.45707102884763,505,minus_state,11,3
random_forest,L1,28.311511696330797,38.09574651495157,23.32205392897684,15.005455272057706,30.252332707575164,505,minus_state,11,3
gbm,L1,27.09631568942701,36.728999690725146,21.772327057692525,14.116018014398696,29.135672520034642,505,minus_state,11,3
hybrid_physics_ml,L1,18.468429907886286,29.473565557408644,13.709321559611414,9.751776068047969,19.999362649099943,505,minus_state,11,3
rated_range,L1,66.66621052358971,77.00345732263453,64.79860235872935,42.1173628969467,54.416406398386115,505,minus_traffic,13,3
physics_only,L1,31.45074937866919,43.947134510145574,23.279828700560476,17.60588351999594,33.802185079137026,505,minus_traffic,13,3
ridge,L1,24.98200175408621,33.517023038714775,20.334101020045562,13.729110294419552,29.800509357690444,505,minus_traffic,13,3
random_forest,L1,24.22119218146991,32.9746061161992,20.4847551481567,12.586220909323606,28.084986262771324,505,minus_traffic,13,3
gbm,L1,21.59985447757334,30.69143175698791,17.877578134929895,11.007284639503029,25.08718359384235,505,minus_traffic,13,3
hybrid_physics_ml,L1,18.169525431703523,28.432325636289892,13.597199695452348,9.642001980959327,20.259978090221622,505,minus_traffic,13,3
rated_range,L1,64.28065153114498,76.59633299026747,56.15920973425433,37.93965689690594,48.3146903218671,559,full,15,4
physics_only,L1,35.767058599259094,49.91974503088374,22.732640038741625,19.58787566471424,32.48607168892749,559,full,15,4
ridge,L1,26.954667669669067,36.90086811514369,19.21988929012819,14.312928502452971,25.348182195461607,559,full,15,4
random_forest,L1,27.201422587887762,39.09845038201801,19.580321264708083,13.893920814419907,25.41646896854494,559,full,15,4
gbm,L1,24.75336489178882,35.49217946972781,17.74074532208462,12.00118683036947,23.034218724093343,559,full,15,4
hybrid_physics_ml,L1,18.64178458312638,29.029569421808354,12.896763434977418,9.232799654629266,18.651013156116626,559,full,15,4
rated_range,L1,64.28065153114498,76.59633299026747,56.15920973425433,37.93965689690594,48.3146903218671,559,minus_route,7,4
physics_only,L1,35.767058599259094,49.91974503088374,22.732640038741625,19.58787566471424,32.48607168892749,559,minus_route,7,4
ridge,L1,31.522722078200808,43.766121554144775,23.63167984874173,15.58135484814239,30.20540397736238,559,minus_route,7,4
random_forest,L1,32.02988645474245,44.56222485688108,24.00358983423943,15.690953490488871,29.978105849831127,559,minus_route,7,4
gbm,L1,33.21350285923736,44.95083681895846,24.656577574997904,17.157465257997533,31.62675668773996,559,minus_route,7,4
hybrid_physics_ml,L1,28.52889371395787,40.91196014264241,20.318872244326464,14.224798669969307,29.478952929533364,559,minus_route,7,4
rated_range,L1,64.28065153114498,76.59633299026747,56.15920973425433,37.93965689690594,48.3146903218671,559,minus_weather,14,4
physics_only,L1,35.767058599259094,49.91974503088374,22.732640038741625,19.58787566471424,32.48607168892749,559,minus_weather,14,4
ridge,L1,27.840578426318206,37.61195152843028,20.164894450378068,15.142008120681094,26.412703863134677,559,minus_weather,14,4
random_forest,L1,27.57625809843851,39.312723514159046,19.94698951619549,13.352253598394038,25.795159868183948,559,minus_weather,14,4
gbm,L1,25.716661208099254,36.690706010552226,18.690469977977656,12.708859417183563,24.321898170761568,559,minus_weather,14,4
hybrid_physics_ml,L1,20.765719949463968,30.790591307755147,14.549928917521074,10.732568964976867,20.576038356336777,559,minus_weather,14,4
rated_range,L1,64.28065153114498,76.59633299026747,56.15920973425433,37.93965689690594,48.3146903218671,559,minus_state,11,4
physics_only,L1,35.767058599259094,49.91974503088374,22.732640038741625,19.58787566471424,32.48607168892749,559,minus_state,11,4
ridge,L1,35.685632264642315,48.4825567895051,26.05538847642957,17.915328320720437,34.048442765671126,559,minus_state,11,4
random_forest,L1,29.92465063956943,43.5834645075603,21.35580133205207,14.459931796042186,27.029194552969567,559,minus_state,11,4
gbm,L1,30.407149232668857,42.1132747607741,21.64897682613917,15.975251085286851,27.025213721505747,559,minus_state,11,4
hybrid_physics_ml,L1,18.929175019605882,29.475232501466543,12.891682372098238,9.279247325729036,18.433183225628667,559,minus_state,11,4
rated_range,L1,64.28065153114498,76.59633299026747,56.15920973425433,37.93965689690594,48.3146903218671,559,minus_traffic,13,4
physics_only,L1,35.767058599259094,49.91974503088374,22.732640038741625,19.58787566471424,32.48607168892749,559,minus_traffic,13,4
ridge,L1,26.677420951007786,36.63890071000859,19.24489188801654,14.03461504802032,25.29334487098615,559,minus_traffic,13,4
random_forest,L1,26.999512683171517,38.86538464415707,19.465597398411163,13.974847799507797,25.354161800394586,559,minus_traffic,13,4
gbm,L1,24.687082041368846,35.60689222971438,17.814970011475975,12.179617011842902,23.05012734242893,559,minus_traffic,13,4
hybrid_physics_ml,L1,18.33759281535849,28.726966372364412,12.723685868407077,8.674222483010377,18.39593374272869,559,minus_traffic,13,4
