model,variant,MAE_mean,MAE_std,MAE_count,RMSE_mean,RMSE_std,RMSE_count,MAPE_mean,MAPE_std,MAPE_count,medAPE_mean,medAPE_std,medAPE_count,range_km_MAE_mean,range_km_MAE_std,range_km_MAE_count,n_test_mean,n_test_std,n_test_count,n_features_mean,n_features_std,n_features_count
rated_range,full,65.64308355789419,4.175769660359432,5,77.37241247743023,3.79007013211481,5,59.79595391478504,7.584302188414007,5,39.81354108939575,6.054302726599533,5,50.89025205262253,5.820255486384234,5,570.8,86.03603896042634,5,15.0,0.0,5
rated_range,minus_route,65.64308355789419,4.175769660359432,5,77.37241247743023,3.79007013211481,5,59.79595391478504,7.584302188414007,5,39.81354108939575,6.054302726599533,5,50.89025205262253,5.820255486384234,5,570.8,86.03603896042634,5,7.0,0.0,5
rated_range,minus_state,65.64308355789419,4.175769660359432,5,77.37241247743023,3.79007013211481,5,59.79595391478504,7.584302188414007,5,39.81354108939575,6.054302726599533,5,50.89025205262253,5.820255486384234,5,570.8,86.03603896042634,5,11.0,0.0,5
rated_range,minus_traffic,65.64308355789419,4.175769660359432,5,77.37241247743023,3.79007013211481,5,59.79595391478504,7.584302188414007,5,39.81354108939575,6.054302726599533,5,50.89025205262253,5.820255486384234,5,570.8,86.03603896042634,5,13.0,0.0,5
rated_range,minus_weather,65.64308355789419,4.175769660359432,5,77.37241247743023,3.79007013211481,5,59.79595391478504,7.584302188414007,5,39.81354108939575,6.054302726599533,5,50.89025205262253,5.820255486384234,5,570.8,86.03603896042634,5,14.0,0.0,5
ridge,full,26.42949709423727,2.2124469109474805,5,35.85539058058606,4.177194131046643,5,19.623900800316896,1.4852017901935481,5,13.97315927926012,0.6009697155396263,5,26.613399481936277,2.7190622358071126,5,570.8,86.03603896042634,5,15.0,0.0,5
ridge,minus_route,30.776366797731917,3.360669710424524,5,42.1282396921634,5.316518900863027,5,24.269303285516962,3.0086579468944366,5,15.228313152554742,1.2231539850330493,5,32.06345254405338,3.9436442502846982,5,570.8,86.03603896042634,5,7.0,0.0,5
ridge,minus_state,36.576033129663344,2.6013058741255857,5,48.23039549774306,4.85364717876747,5,27.556249845735266,2.4234619923770344,5,19.582106583592257,2.112574989316294,5,35.99305590381389,3.540135181012403,5,570.8,86.03603896042634,5,11.0,0.0,5
ridge,minus_traffic,26.196773173547648,2.4006383108799554,5,35.61126448051772,4.39555637222173,5,19.71660114801292,1.65228557626936,5,14.010274555642349,0.5118708649128998,5,26.66441486466265,3.1329487567954204,5,570.8,86.03603896042634,5,13.0,0.0,5
ridge,minus_weather,27.823199420913966,1.840965827533282,5,37.052374666229,3.8155468523391747,5,21.01695657807586,1.720913120190393,5,15.695105637982934,0.9353722256264562,5,28.297467272287765,3.0970289480851223,5,570.8,86.03603896042634,5,14.0,0.0,5
