model,protocol,MAE,RMSE,MAPE,medAPE,range_km_MAE,n_test,seed
ridge,L0,25.23986324074163,34.516198834617576,17.83914390967749,13.079894276207128,22.95143882341859,600,3
random_forest,L0,24.559647762450695,33.94852029426496,17.301308536744177,12.29300413239186,22.277199702236192,600,3
gbm,L0,22.619649534162583,31.432458002885475,15.89565076964457,11.434727436826881,20.60688266722849,600,3
hybrid_physics_ml,L0,17.061011370247698,26.70319066322698,11.335706097729254,8.865771921203644,15.601336548092771,600,3
rated_range,L1,66.66621052358971,77.00345732263453,64.79860235872935,42.1173628969467,54.416406398386115,505,3
physics_only,L1,31.45074937866919,43.947134510145574,23.279828700560476,17.60588351999594,33.802185079137026,505,3
ridge,L1,25.0060661744451,33.598192760840945,20.132361700026877,13.678989314007273,29.205401981006766,505,3
random_forest,L1,24.2631654746208,32.89658622183937,20.418658490218288,12.339401817211716,27.994886861706537,505,3
gbm,L1,22.195961492380384,31.11939376853764,18.512717590888943,11.899135597789758,25.90328471220611,505,3
hybrid_physics_ml,L1,18.333749754415273,28.1976376523361,13.838097263863533,9.332842762624015,20.408534266107573,505,3
rated_range,L0,65.0345798423362,78.48834390275921,57.65657818200458,37.46197326169363,48.93357829879755,600,4
physics_only,L0,37.73346734761526,50.84228678281825,24.240152073475073,20.344360175747944,35.598433351235784,600,4
ridge,L0,25.596973325585395,36.806826910772756,18.351298136776453,12.0361783208558,25.194276982501634,600,4
random_forest,L0,25.998339596806495,37.85573230224339,18.38066579945323,12.213079924440748,24.08987957558436,600,4
gbm,L0,22.876559825535207,33.871188980751626,15.654778007980644,10.59447860184331,21.00515074130152,600,4
hybrid_physics_ml,L0,17.31747603425751,25.856448148835504,11.786220209869711,8.758994630566743,18.105604193866498,600,4
rated_range,L1,64.28065153114498,76.59633299026747,56.15920973425433,37.93965689690594,48.3146903218671,559,4
physics_only,L1,35.767058599259094,49.91974503088374,22.732640038741625,19.58787566471424,32.48607168892749,559,4
ridge,L1,26.954667669669067,36.90086811514369,19.21988929012819,14.312928502452971,25.348182195461607,559,4
random_forest,L1,27.201422587887766,39.09845038201801,19.580321264708083,13.893920814419907,25.416468968544944,559,4
gbm,L1,24.75336489178882,35.49217946972781,17.74074532208462,12.00118683036947,23.034218724093343,559,4
hybrid_physics_ml,L1,18.64178458312638,29.029569421808354,12.896763434977418,9.232799654629266,18.651013156116626,559,4
